LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,TEST_CMPNT_TYP_CD,NATIONAL_NUM_TESTED_CNT,STATE_NUM_TESTED_CNT,DSTRCT_NUM_TESTED_CNT,INSTN_NUM_TESTED_CNT,STATE_AVG_SCORE_VAL,DSTRCT_AVG_SCORE_VAL,INSTN_AVG_SCORE_VAL,,
2010-11,625,Savannah-Chatham County,6595,Scott Alternative Learning Center,Mathematics,1267239,84799,1684,2,490,441,,,
2010-11,625,Savannah-Chatham County,6595,Scott Alternative Learning Center,Reading,1267239,84686,1677,2,486,448,,,
2010-11,625,Savannah-Chatham County,6595,Scott Alternative Learning Center,Writing,1267239,83235,1651,2,361,328,,,
2011-12,660,Fulton County,205,Alpharetta High School,Combined,1284459,86367,6875,678,1342,1457,1526,,
2010-11,626,Chattahoochee County,206,Chattahoochee County High School,Mathematics,1267239,84799,59,59,490,426,426,,
2010-11,626,Chattahoochee County,206,Chattahoochee County High School,Reading,1267239,84686,59,59,486,425,425,,
2010-11,626,Chattahoochee County,206,Chattahoochee County High School,Writing,1267239,83235,58,58,361,364,364,,
2012-13,660,Fulton County,205,Alpharetta High School,Combined,1295267,86088,6860,666,1337,1466,1567,,
2010-11,627,Chattooga County,1050,Chattooga High School,Mathematics,1267239,84799,60,60,490,460,460,,
2010-11,627,Chattooga County,1050,Chattooga High School,Reading,1267239,84686,61,61,486,473,473,,
2010-11,627,Chattooga County,1050,Chattooga High School,Writing,1267239,83235,60,60,361,378,378,,
2013-14,660,Fulton County,205,Alpharetta High School,Combined,1306039,82852,6825,616,1352,1459,1568,,
2010-11,628,Cherokee County,106,Creekview High School,Mathematics,1267239,84799,1850,382,490,536,539,,
2010-11,628,Cherokee County,106,Creekview High School,Reading,1267239,84686,1846,380,486,531,532,,
2010-11,628,Cherokee County,106,Creekview High School,Writing,1267239,83235,1807,375,361,394,403,,
2015-16,761,Atlanta Public Schools,106,Early College High School at Carver,Combined Test Score,,28212.33333,472,40,1084,1063,989,,
2010-11,628,Cherokee County,115,River Ridge High School,Mathematics,1267239,84799,1850,10,490,536,562,,
2010-11,628,Cherokee County,115,River Ridge High School,Reading,1267239,84686,1846,11,486,531,583,,
2010-11,628,Cherokee County,115,River Ridge High School,Writing,1267239,83235,1807,10,361,394,361,,
2016-17,761,Atlanta Public Schools,106,Early College High School at Carver,Combined Test Score,1715481,62394.33333,1229.333333,87,1053,1005,1013,,NEW SCALE
2010-11,628,Cherokee County,176,Etowah High School,Mathematics,1267239,84799,1850,360,490,536,549,,
2010-11,628,Cherokee County,176,Etowah High School,Reading,1267239,84686,1846,366,486,531,544,,
2010-11,628,Cherokee County,176,Etowah High School,Writing,1267239,83235,1807,355,361,394,402,,
2017-18,761,Atlanta Public Schools,106,Early College High School at Carver,Combined Test Score,2136539,65795,2145.333333,77,1052,948,948,,NEW SCALE
2010-11,628,Cherokee County,191,Sequoyah High School,Mathematics,1267239,84799,1850,443,490,536,523,,
2010-11,628,Cherokee County,191,Sequoyah High School,Reading,1267239,84686,1846,445,486,531,519,,
2010-11,628,Cherokee County,191,Sequoyah High School,Writing,1267239,83235,1807,431,361,394,383,,
2018-19,761,Atlanta Public Schools,106,Early College High School at Carver,Combined Test Score,2220087,49345,1152,57,1027,965,944,,NEW SCALE
2010-11,628,Cherokee County,194,Polaris Evening School,Mathematics,1267239,84799,1850,7,490,536,,,
2010-11,628,Cherokee County,194,Polaris Evening School,Reading,1267239,84686,1846,7,486,531,,,
2010-11,628,Cherokee County,194,Polaris Evening School,Writing,1267239,83235,1807,7,361,394,,,
2014-15,761,Atlanta Public Schools,4560,Grady High School,Combined,1332096,84860,1547,286,1352,1273,1435,,NEW SCALE
2010-11,628,Cherokee County,197,Woodstock High School,Mathematics,1267239,84799,1850,444,490,536,536,,
2010-11,628,Cherokee County,197,Woodstock High School,Reading,1267239,84686,1846,438,486,531,529,,
2010-11,628,Cherokee County,197,Woodstock High School,Writing,1267239,83235,1807,431,361,394,382,,
2010-11,729,Sumter County,205,Americus Sumter 9th Grade Academy,Combined,1267239,84240,144,3,1338,1233,,,
2010-11,628,Cherokee County,5050,Cherokee High School,Mathematics,1267239,84799,1850,201,490,536,542,,
2010-11,628,Cherokee County,5050,Cherokee High School,Reading,1267239,84686,1846,196,486,531,537,,
